ID,Category,Title,Description,Status,Days Left/Overdue
001,National Unity & Governance,Initiate discussions with major parties on national consensus issues,Initiate dialogue with major parties on national consensus issues,In Progress,12 days left
002,National Unity & Governance,Prepare a report by conducting a comprehensive review of the implementation of the constitution,Conduct comprehensive review of constitution implementation and prepare report,In Progress,27 days left
003,National Unity & Governance,Completing the remaining work related to transitional justice,Complete remaining transitional justice work,Not Started,97 days left
004,National Unity & Governance,Restructuring the Office of the Prime Minister and the Council of Ministers,Restructure the Office of PM and Council of Ministers,Not Started,27 days left
005,National Unity & Governance,Strengthening coordination between the federal provincial and local levels,Strengthen coordination between federal provincial and local levels,In Progress,27 days left
006,National Unity & Governance,Regularize National Security Council meetings and form a task force,Regularize National Security Council meetings and form task forces,Not Started,12 days left
007,National Unity & Governance,Conducting a mid-term review of the National Development Plan,Conduct mid-term review of national development plan,Not Started,57 days left
008,National Unity & Governance,Limiting the number of ministries to 17 and restructuring them,Limit number of ministries to 17 and restructure government divisions,In Progress,27 days left
009,Public Administration Reform,Maintaining the number of federal ministries at 17 and amending the work division regulations,Maintain 17 federal ministries and amend work division regulations,In Progress,27 days left
010,Public Administration Reform,Implement Business Process Re-engineering (BPR) in all public bodies,Implement Business Process Re-engineering in all public bodies,Not Started,27 days left
011,Public Administration Reform,Dismantling/consolidating unproductive boards committees and structures,Abolish or merge unproductive boards committees and structures,Not Started,27 days left
012,Public Administration Reform,Federal Civil Service Bill to be formulated within 45 days to free public administration from political interference,Free public administration from political interference; draft Federal Civil Service Bill within 45 days,In Progress,42 days left
013,Public Administration Reform,Implementing employee code of conduct and creating service-oriented administration,Enforce employee code of conduct and create service-oriented administration,In Progress,3 days overdue
014,Public Administration Reform,National standards for organization and management surveys to be approved within 15 days,Approve national standards for organizational survey within 15 days,Not Started,12 days left
015,Public Administration Reform,Teachers' seat roll registration and post-retirement services to be provided by the province,Transfer teacher registration and retirement services to provincial level,Not Started,97 days left
016,Public Administration Reform,Prepare employee performance indicators within 45 days,Prepare employee performance indicators within 45 days,Not Started,42 days left
017,Public Administration Reform,Making the Chief District Officer (CDO) the main coordinator of the district,Make Chief District Officer the chief coordinator of the district,Not Started,27 days left
018,Public Administration Reform,Deploying a Front Desk Officer in a government office,Deploy Front Desk Officers in all government offices,Not Started,27 days left
019,Public Administration Reform,Implementation of a performance evaluation system based on the Smart Government concept,Implement Smart Government-based performance evaluation system,Not Started,57 days left
020,Public Administration Reform,Publish the annual work plans and progress of all public bodies,Make annual work plans and progress of all public bodies public,Not Started,97 days left
021,Public Administration Reform,Action will be taken if ministers and officials misuse public property and resources,Take action against ministers/officials misusing public property and resources,In Progress,3 days overdue
022,Public Administration Reform,Making the e-GP system mandatory to maintain transparency in public procurement,Make e-GP system mandatory for transparency in public procurement,Not Started,27 days left
023,Public Administration Reform,Creating an integrated program for capacity development at the provincial and local levels,Create integrated capacity building programs for provincial and local levels,Not Started,57 days left
024,Citizen Services,Operate a 24-hour national citizen assistance and complaint management system,Operate 24-hour national citizen helpline and grievance management system,Not Started,97 days left
025,Citizen Services,Upgrading the Hello Government platform to create a real-time monitoring dashboard,Upgrade Hello Sarkar platform with real-time monitoring dashboard,Not Started,97 days left
026,Citizen Services,Making passport citizenship and license services faster and middleman-free,Make passport citizenship license services fast and middleman-free,Not Started,97 days left
027,Citizen Services,Converting the Postal Service into a Government Courier Service,Transform postal service into Government Courier Service delivering documents to doorstep,Not Started,97 days left
028,Digital Governance,Strengthening the GIOMS system in all government agencies,Strengthen GIOMS system in all government bodies,Not Started,97 days left
029,Digital Governance,Arrangements for auto-filling of citizen details should be made within 60 days,Implement citizen data auto-fill system within 60 days,Not Started,57 days left
030,Digital Governance,Make government apps/portals accessible to people with disabilities,Make government apps/portals accessible for persons with disabilities,Not Started,97 days left
031,Digital Governance,Making the online application system easier through the Citizen App,Simplify online application system through Nagarik App,Not Started,42 days left
032,Digital Governance,Implementing an appointment system for services,Implement appointment system for government services,Not Started,87 days left
033,Digital Governance,Implementing Digital Signature System through NID Card/Biometric/OTP,Implement digital signature system via NID Card Biometric or OTP,Not Started,27 days left
034,Digital Governance,Implement file tracking system within 30 days,Implement file tracking system with alerts within 30 days,Not Started,27 days left
035,Digital Governance,Certificates can be downloaded from the mobile app within 15 days,Enable certificate downloads via mobile app within 15 days,Not Started,12 days left
036,Digital Governance,Establishing a National Integrated Digital Governance Platform and Implementing a Digital Governance Blueprint,Establish National Integrated Digital Governance Platform and implement Digital Governance Blueprint,Not Started,97 days left
037,Digital Governance,Digital governance and personal data protection laws to be formulated within 60 days,Draft digital governance and personal data protection law within 60 days,Not Started,57 days left
038,Digital Governance,Legal arrangements for establishing an independent regulatory body for information technology within 60 days,Legal arrangements for establishing independent IT regulatory authority within 60 days,Not Started,57 days left
039,Digital Governance,Information Technology and e-Governance Office to be established within three months,Establish IT and e-Governance Office under PM Office within 3 months,Not Started,87 days left
040,Digital Governance,Information Technology and e-Governance Bill to be formulated within 60 days,Draft IT and e-Governance Bill within 60 days,Not Started,57 days left
041,Digital Governance,National Enterprise Architecture Framework to be prepared within 60 days,Prepare National Enterprise Architecture Framework within 60 days,Not Started,57 days left
042,Digital Governance,Betting apps and websites to be shut down within 24 hours,Shut down betting apps and websites within 24 hours,In Progress,2 days overdue
043,Anti-Corruption & Good Governance,Empowered Property Investigation Committee to be formed within 15 days,Form empowered asset investigation committee within 15 days,In Progress,12 days left
044,Anti-Corruption & Good Governance,Make public the assets of all public officials,Make asset declarations of all public officials public,Not Started,27 days left
045,Anti-Corruption & Good Governance,Implement a zero tolerance policy against corruption,Implement zero-tolerance policy against corruption,In Progress,3 days overdue
046,Anti-Corruption & Good Governance,Making the Right to Information Law Effective,Make Right to Information law effective,Not Started,57 days left
047,Anti-Corruption & Good Governance,Drafting Whistleblower Protection Law,Draft Whistleblower Protection Law,Not Started,57 days left
048,Anti-Corruption & Good Governance,Strengthening the Commission for the Investigation of Abuse of Authority,Strengthen the Commission for Investigation of Abuse of Authority (CIAA),Not Started,57 days left
049,Anti-Corruption & Good Governance,Increasing transparency in the public procurement process,Enhance transparency in public procurement processes,Not Started,27 days left
050,Anti-Corruption & Good Governance,Digital system implemented to control corruption in land administration,Implement digital system to control corruption in land administration,Not Started,57 days left
051,Economy & Investment,Bringing an immediate economic package to maintain the country's economic stability,Bring immediate economic package to maintain national economic stability,Not Started,12 days left
052,Economy & Investment,Ensuring the autonomy of Nepal Rastra Bank,Ensure autonomy of Nepal Rastra Bank,Not Started,27 days left
053,Economy & Investment,Simplify the tax system by reforming revenue policy,Reform revenue policy and simplify tax system,Not Started,57 days left
054,Economy & Investment,Formulate a policy to invest remittances in productive sectors,Create policy to channel remittances into productive investment,Not Started,57 days left
055,Economy & Investment,Establishment of One Door Approval System in Board of Investment within one month,Establish One Door Approval System in Investment Board within one month,Not Started,27 days left
056,Economy & Investment,Implementing the Startup Fast Track system — business registration in two days,Launch Startup Fast Track system — business registration in 2 days,Not Started,27 days left
057,Economy & Investment,Reducing risk weighting in lending to SME agriculture and IT sectors,Reduce risk weightage for SME agriculture and IT sector lending,Not Started,27 days left
058,Economy & Investment,One Door Business Platform to be operational within 45 days,Launch One Door Business Platform within 45 days,Not Started,42 days left
059,Economy & Investment,Converting the Employment Service Center into an 'Employment Skills and Entrepreneurship Center',Transform employment centers into 'Employment Skills & Entrepreneurship Centers',Not Started,57 days left
060,Economy & Investment,Approving the Private Sector Protection and Promotion Strategy (PSPP),Approve Private Sector Protection and Promotion Strategy (PSPP),In Progress,3 days overdue
061,Economy & Investment,Industrial and commercial security infrastructure to be developed within 30 days,Develop industrial and commercial security infrastructure within 30 days,Not Started,27 days left
062,Economy & Investment,Strict legal action against damage to private property and looting,Strict legal action against damage and looting of private property,Not Started,3 days overdue
063,Economy & Investment,Relief and rehabilitation package for businesses affected by the Gen-G movement,Relief and rehabilitation package for businesses affected by Gen-Z movement,Not Started,27 days left
064,Economy & Investment,PM Delivery Unit to be established immediately,Establish PM Delivery Unit immediately,In Progress,3 days overdue
065,Infrastructure & Energy,Review and prioritize projects of national pride,Review and prioritize national pride projects,Not Started,27 days left
066,Infrastructure & Energy,Accelerating the construction of electricity export agreements and international transmission lines,Accelerate electricity export agreements and international transmission lines,In Progress,57 days left
067,Infrastructure & Energy,Implement a policy to increase electricity consumption in Nepal (EV induction cooker),Implement policy to increase domestic electricity consumption (EV induction stoves),Not Started,57 days left
068,Infrastructure & Energy,Ensuring quality in the construction of roads bridges and tunnels,Ensure quality in road bridge and tunnel construction,In Progress,97 days left
069,Infrastructure & Energy,Railway development master plan to be updated within 60 days,Update railway development master plan within 60 days,Not Started,57 days left
070,Infrastructure & Energy,Improving Kathmandu Valley's transportation management — Metro/Monorail study,Improve Kathmandu Valley transport management — Metro/Monorail feasibility study,Not Started,57 days left
071,Infrastructure & Energy,Airport modernization and capacity development,Modernize airports and develop capacity,Not Started,97 days left
072,Infrastructure & Energy,Expanding water and sanitation services,Expand drinking water and sanitation services,Not Started,97 days left
073,Infrastructure & Energy,Complete Melamchi and other large drinking water projects,Complete Melamchi and other major drinking water projects,Not Started,97 days left
074,Infrastructure & Energy,Increase agricultural productivity by completing irrigation projects,Complete irrigation projects to increase agricultural productivity,Not Started,97 days left
075,Infrastructure & Energy,Digital Connectivity — Bringing broadband to all local levels,Extend broadband connectivity to all local levels,Not Started,97 days left
076,Education & Health,Launch a program to ensure the quality of public schools,Launch program to ensure quality in public schools,Not Started,27 days left
077,Education & Health,Improving and modernizing the education curriculum,Reform and modernize education curriculum,Not Started,57 days left
078,Education & Health,Making health insurance programs effective,Make health insurance program effective,Not Started,57 days left
079,Education & Health,Ensuring availability of medicines in hospitals,Ensure medicine availability in hospitals,Not Started,27 days left
080,Education & Health,To formulate a public health act,Draft Public Health Act,Not Started,57 days left
081,Education & Health,Improving medical education and regulating fees,Reform medical education and regulate fees,Not Started,57 days left
082,Education & Health,Sports infrastructure development and establishment of a player welfare fund,Develop sports infrastructure and establish athlete welfare fund,Not Started,97 days left
083,Agriculture & Environment,Implement agricultural modernization programs — mechanization irrigation,Implement agriculture modernization — mechanization irrigation,Not Started,57 days left
084,Agriculture & Environment,Improving market management of agricultural products,Improve market management for agricultural products,Not Started,57 days left
085,Agriculture & Environment,Conserving national forest resources and controlling deforestation,Protect national forest resources and control deforestation,Not Started,97 days left
086,Agriculture & Environment,Implementing a climate change adaptation action plan,Implement climate change adaptation action plan,Not Started,97 days left
087,Agriculture & Environment,Strengthening disaster risk reduction and preparedness,Strengthen disaster risk reduction and preparedness,Not Started,57 days left
088,Land Reform & Public Assets,Establish a land commission and start a land reform program,Form Land Commission and start land reform program,Not Started,57 days left
089,Land Reform & Public Assets,Special program launched to solve the problem of squatters,Run special program to resolve landless squatter issues,Not Started,97 days left
090,Land Reform & Public Assets,Digitalizing land administration and controlling land plotting,Digitize land administration and control land plotting,Not Started,57 days left
091,Land Reform & Public Assets,Removing unauthorized land occupation and operating a public dashboard,Remove unauthorized land encroachment and operate public dashboard,Not Started,3 days overdue
092,Land Reform & Public Assets,Creating digital records of public land and removing illegal encroachment,Prepare digital records of public land and remove illegal encroachment,Not Started,3 days overdue
093,Security & Strategic Affairs,Criminal Property Regulations to be amended within two months,Amend criminal property management regulations within 2 months,Not Started,57 days left
094,Security & Strategic Affairs,At least Rs 10 million available to make Nepal Police CIB technologically advanced,Provide at least Rs 1 crore to modernize Nepal Police CIB technology,Not Started,3 days overdue
095,Security & Strategic Affairs,Inter-ministerial task force formed to study the impact of international crisis,Form inter-ministry task force to study impact of international crises,Not Started,4 days left
096,Security & Strategic Affairs,Immediate management or auction of vehicles stuck at customs,Immediately manage or auction vehicles stuck in customs,Not Started,3 days overdue
097,Security & Strategic Affairs,Free 'Blue Bus' service in all seven provinces — 25 buses operate in 100 days,Free 'Blue Bus' service for women in all 7 provinces — 25 buses in 100 days,Not Started,97 days left
098,Security & Strategic Affairs,CCTV/Dashcam and SOS button mandatory in public transport within 30 days,Mandatory CCTV/Dashcam and SOS Button in public transport within 30 days,Not Started,27 days left
099,Security & Strategic Affairs,The process of returning savings of small savers of cooperatives will begin within 100 days,Start process of returning savings of small cooperative depositors within 100 days,Not Started,97 days left
100,Security & Strategic Affairs,Call on all stakeholders for effective implementation of the 2082 mandate,Call upon all stakeholders for effective implementation of 2082 election mandate,Not Started,97 days left
